"%""Heat"	and	Mass	Transfer	"Experiment"""						
"%""Data"	"file"""									
"%""The"	time	is	"15:10:06.59."""							
"%""The"	date	is	"8-30-2005."""							
"%""Sec."	" Volts"""	Volts	Volts	Deg C	Deg C	Deg C	Deg C	kg/h	kg/h	kg/h
"%""Time"	 Cold	 Hot	" Total"""	T1   	T2   	T4   	T5   	Cold	Hot	Total
460	2.77	2.98	2.83	18.73	46.69	40.89	33.82	297.5603008		
462	2.77	2.98	2.77	18.36	46.69	39.98	34	297.5603008		
464	2.78	2.97	2.82	18.73	46.51	39.98	34	298.0946643		
466	2.79	2.83	2.72	18.55	46.69	39.08	33.45	298.6280675		
468	2.81	2.87	2.87	18.36	46.69	40.71	34	299.6920139		
470	2.79	2.92	2.78	18.73	46.51	39.98	33.27	298.6280675		
472	2.84	3.04	2.81	18.17	46.87	40.16	33.82	301.2808593		
474	2.85	3.08	2.97	18.55	46.69	40.53	33.27	301.8086079		
476	2.84	3.05	2.89	18.55	46.51	40.71	32.73	301.2808593		
478	2.82	3.01	2.87	18.36	46.69	41.25	33.09	300.2225672		
480	2.8	2.96	2.82	18.55	46.51	40.16	33.09	299.1605157		
482	2.8	2.94	2.85	17.99	46.87	39.62	32.73	299.1605157		
484	2.77	2.97	2.89	18.36	46.69	40.89	33.09	297.5603008		
486	2.76	2.93	2.86	18.55	46.51	39.8	33.09	297.0249719		
488	2.78	2.97	2.87	18.17	46.87	40.35	32.91	298.0946643		
490	2.76	3	2.95	18.55	46.69	40.16	33.27	297.0249719		
492	2.81	2.99	2.75	17.8	46.87	40.71	32.73	299.6920139		
494	2.78	3.01	2.81	18.17	46.69	40.16	33.27	298.0946643		
496	2.83	3	2.79	18.36	46.69	40.35	33.64	300.7521807		
498	2.8	2.92	2.82	17.99	46.87	39.44	33.09	299.1605157		
500	2.78	2.96	2.22	18.36	46.69	40.71	33.82	298.0946643		
502	2.74	2.87	2.91	17.8	46.87	39.8	32.91	295.9513968		
504	2.78	2.98	2.84	17.8	46.87	40.89	33.64	298.0946643		
506	2.79	3.05	2.82	18.17	46.69	39.8	32.91	298.6280675		
508	2.84	3.01	2.9	17.8	46.87	40.71	33.09	301.2808593		
510	2.81	2.97	2.88	17.99	46.87	39.62	33.45	299.6920139		
512	2.78	2.96	2.86	17.8	46.87	40.53	33.09	298.0946643		
514	2.78	3.04	2.92	17.62	46.87	40.71	33.09	298.0946643		
516	2.82	2.98	2.92	17.99	46.69	40.71	33.27	300.2225672		
518	2.81	3.01	2.71	18.17	46.87	39.26	32.91	299.6920139		
520	2.79	3.01	2.87	17.8	46.87	41.07	32.73	298.6280675		
522	2.8	2.9	2.77	17.99	46.69	40.35	32.91	299.1605157		
524	2.8	2.98	2.84	17.99	46.87	39.8	32.18	299.1605157		
526	2.82	2.93	2.77	18.55	46.51	39.26	33.27	300.2225672		
528	2.75	2.97	2.69	18.17	46.69	39.62	32.73	296.4886723		
530	2.74	3.02	2.78	17.8	46.87	40.71	32	295.9513968		
532	2.82	3.07	2.67	18.55	46.51	40.35	32.73	300.2225672		
534	2.81	2.94	2.92	18.36	46.69	39.08	32.73	299.6920139		
536	2.82	3.06	2.76	18.36	46.69	39.44	33.09	300.2225672		
538	2.8	3.03	2.96	18.55	46.51	39.62	32.91	299.1605157		
540	2.84	2.93	2.94	18.36	46.69	39.8	33.09	301.2808593		
542	2.81	2.99	2.79	18.36	46.51	40.53	33.09	299.6920139		
544	2.81	3.01	2.5	18.55	46.51	39.62	33.45	299.6920139		
546	2.83	2.99	2.89	18.17	46.69	39.08	33.27	300.7521807		
548	2.82	2.97	2.86	18.55	46.51	40.35	34	300.2225672		
550	2.81	2.96	2.88	18.55	46.51	39.26	33.82	299.6920139		
552	2.81	2.87	2.86	18.36	46.69	40.89	33.82	299.6920139		
554	2.8	2.99	2.91	18.55	46.51	41.25	33.82	299.1605157		
556	2.82	3.01	2.83	17.8	46.87	40.16	33.27	300.2225672		
558	2.83	2.99	2.77	18.36	46.69	40.16	33.45	300.7521807		
560	2.81	2.89	2.87	18.55	46.69	39.44	33.09	299.6920139		
562	2.79	3.04	2.99	17.62	46.87	39.8	32.91	298.6280675		
564	2.83	3.01	2.93	18.17	46.69	40.16	32.55	300.7521807		
566	2.77	2.99	2.84	17.8	46.87	39.8	32.18	297.5603008		
568	2.79	2.95	2.92	17.8	46.87	40.89	32.55	298.6280675		
570	2.79	2.9	2.87	17.99	46.87	39.44	32.91	298.6280675		
572	2.8	2.92	2.79	17.99	46.87	39.44	32.73	299.1605157		
574	2.82	3.02	2.7	17.8	46.87	38.71	33.27	300.2225672		
576	2.81	3	2.79	18.55	46.69	39.8	33.27	299.6920139		
578	2.79	2.98	2.81	17.99	46.87	39.44	32.91	298.6280675		
580	2.8	3.02	2.86	18.73	46.51	40.16	34	299.1605157		
582	2.83	3.01	2.79	18.36	46.69	39.08	32.91	300.7521807		
584	2.82	2.91	2.71	17.99	46.69	39.08	32	300.2225672		
586	2.81	2.9	2.85	18.55	46.51	39.8	33.09	299.6920139		
588	2.83	3.05	2.8	18.55	46.51	40.71	32.73	300.7521807		
590	2.78	3.02	2.76	18.55	46.51	40.35	32.91	298.0946643		
592	2.75	3.01	2.86	18.73	46.51	40.53	33.09	296.4886723		
594	2.77	2.83	2.86	18.17	46.69	38.17	33.45	297.5603008		
596	2.77	2.96	2.87	18.55	46.51	39.8	33.82	297.5603008		
598	2.77	2.99	2.85	18.55	46.51	40.53	33.45	297.5603008		
600	2.79	2.85	2.86	18.36	46.69	39.8	33.64	298.6280675		
602	2.74	2.96	2.79	18.36	46.51	39.26	33.27	295.9513968		
604	2.74	2.94	2.91	18.55	46.51	40.35	32.18	295.9513968		
606	2.78	2.96	2.71	18.17	46.69	40.71	32.91	298.0946643		
608	2.76	2.95	2.76	18.36	46.51	40.16	32.91	297.0249719		
610	2.76	2.94	2.82	17.8	46.87	40.35	32.73	297.0249719		
612	2.76	2.92	2.91	18.17	46.69	39.8	33.64	297.0249719		
614	2.76	2.97	2.86	18.36	46.69	41.07	34	297.0249719		
616	2.78	2.98	2.8	17.62	46.87	38.89	33.09	298.0946643		
618	2.78	3.02	2.93	17.99	46.87	40.89	32.91	298.0946643		
620	2.77	2.94	2.86	17.99	46.87	39.44	32.73	297.5603008		
622	2.78	2.93	2.78	17.62	46.87	39.8	32.18	298.0946643		
624	2.77	2.98	2.79	17.99	46.87	40.89	32.37	297.5603008		
626	2.78	3.01	2.87	17.8	46.87	39.98	32.55	298.0946643		
628	2.8	2.95	2.73	17.8	46.87	39.8	33.09	299.1605157		
630	2.81	2.98	2.87	18.17	46.69	40.53	33.45	299.6920139		
632	2.78	3.01	2.82	17.99	46.87	39.98	32.55	298.0946643		
634	2.74	2.93	2.84	17.62	46.87	39.26	33.27	295.9513968		
636	2.79	3.01	2.94	18.36	46.69	39.44	32.37	298.6280675		
638	2.79	2.98	2.78	17.8	46.87	39.8	32.73	298.6280675		
640	2.78	3	2.72	18.55	46.51	40.35	33.27	298.0946643		
642	2.82	3	2.84	18.17	46.69	38.89	33.27	300.2225672		
644	2.81	3.01	2.96	18.55	46.51	40.71	33.64	299.6920139		
646	2.8	2.95	2.79	18.55	46.51	39.8	32.55	299.1605157		
648	2.77	2.96	3	18.17	46.69	39.62	33.27	297.5603008		
650	2.79	2.96	2.81	18.55	46.51	39.98	33.45	298.6280675		
652	2.76	2.96	2.74	18.73	46.51	39.44	33.82	297.0249719		
654	2.78	2.97	2.85	18.17	46.69	40.35	34	298.0946643		
656	2.77	2.97	2.72	18.55	46.51	40.53	33.09	297.5603008		
658	2.77	3	2.74	18.73	46.51	39.44	32.55	297.5603008		
660	2.8	3.04	2.92	18.17	46.69	40.53	32.91	299.1605157		
662	2.82	2.97	2.92	18.36	46.51	40.35	33.82	300.2225672		
664	2.83	2.79	3.01	17.8	46.87	39.62	33.45	300.7521807		
666	2.84	2.97	2.91	18.36	46.69	41.25	33.64	301.2808593		
668	2.84	3.07	2.83	18.17	46.51	39.62	32.91	301.2808593		
670	2.83	3.03	2.76	17.8	46.87	39.8	32.55	300.7521807		
672	2.8	3.03	2.95	17.99	46.87	40.16	33.09	299.1605157		
674	2.84	3.02	2.78	17.8	46.87	40.16	32.91	301.2808593		
676	2.79	2.97	2.92	17.62	46.87	41.07	33.09	298.6280675		
678	2.82	2.97	3.05	17.99	46.87	39.98	32.73	300.2225672		
680	2.8	3	2.89	17.8	46.87	40.35	32.18	299.1605157		
682	2.81	3.04	2.98	17.62	46.87	40.71	32.55	299.6920139		
684	2.81	3.03	2.68	18.36	46.69	39.44	33.09	299.6920139		
686	2.79	3	2.82	17.8	46.87	39.44	33.27	298.6280675		
688	2.81	2.96	2.74	17.8	46.87	40.16	32.73	299.6920139		
690	2.79	2.87	2.76	18.55	46.69	39.98	33.09	298.6280675		
692	2.81	3	2.97	17.99	46.87	39.8	32.55	299.6920139		
694	2.79	3.03	2.81	18.73	46.51	39.62	33.27	298.6280675		
696	2.79	2.97	2.82	18.17	46.69	38.35	33.45	298.6280675		
698	2.79	3.04	3.03	17.99	46.51	40.53	33.82	298.6280675		
700	2.84	3.06	2.68	18.55	46.51	40.53	33.09	301.2808593		
702	2.84	3.07	3.05	18.36	46.69	40.53	32.91	301.2808593		
704	2.83	3.03	2.85	18.36	46.51	39.98	33.27	300.7521807		
706	2.82	3.02	2.89	18.73	46.33	39.98	33.82	300.2225672		
708	2.88	3.08	2.68	18.36	46.69	41.07	33.82	303.3863227		
710	2.83	3.09	2.89	18.36	46.51	41.07	33.64	300.7521807		
712	2.87	2.98	2.92	18.55	46.51	40.53	32.91	302.8613348		
714	2.83	3.02	2.86	18.17	46.69	40.71	33.45	300.7521807		
716	2.8	3.02	2.79	18.36	46.51	39.44	33.82	299.1605157		
